1yr_return,cat_avg_ret_1m,cat_avg_ret_1y,cat_avg_ret_2y,cat_avg_ret_3m,cat_avg_ret_3y,cat_avg_ret_5y,cat_avg_ret_6m,category,category_url,crisil_rating,diff_fund_cat_1m,diff_fund_cat_1y,diff_fund_cat_2y,diff_fund_cat_3m,diff_fund_cat_3y,diff_fund_cat_5y,diff_fund_cat_6m,fund_family_aum,fund_family_name,fund_family_shortcode,fund_family_url,fund_ret_1m,fund_ret_1y,fund_ret_2y,fund_ret_3m,fund_ret_3y,fund_ret_5y,fund_ret_6m,latest_nav,scheme_aum,scheme_name,scheme_risk_text,scheme_url
8.0,8.18,9.19,11.15,11.02,8.18,10.8,35.52,Index Funds/ETFs,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/index-fundsetfs.html,Not Ranked,0.14000000000000057,-1.17,9.589999999999998,2.0600000000000005,15.879999999999999,60.06,6.25,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,8.32,8.02,20.74,13.08,24.06,70.86,41.77,134.63,3.32,SBI - ETF BSE 100  ,Moderately High,http://www.moneycontrol.com/mutual-funds/nav/sbi-etf-bse-100/MSB1112
30.2,8.18,9.19,11.15,11.02,8.18,10.8,35.52,Index Funds/ETFs,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/index-fundsetfs.html,Rank 3,-9.14,21.04,49.02,-15.36,56.11000000000001,74.87,-31.130000000000003,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,-0.96,30.23,60.17,-4.34,64.29,85.67,4.39,"4,502.48","1,225.26",SBI - ETF Gold,Moderately High,http://www.moneycontrol.com/mutual-funds/nav/sbi-etf-gold/MSB211
7.9,8.18,9.19,11.15,11.02,8.18,10.8,35.52,Index Funds/ETFs,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/index-fundsetfs.html,Rank 2,0.09999999999999964,-1.2799999999999994,11.97,2.92,20.93,62.870000000000005,7.189999999999998,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,8.28,7.91,23.12,13.94,29.11,73.67,42.71,133.31,"60,008.79",SBI - ETF Nifty 50,Moderately High,http://www.moneycontrol.com/mutual-funds/nav/sbi-etf-nifty-50/MSB1174
-8.1,8.18,9.19,11.15,11.02,8.18,10.8,35.52,Index Funds/ETFs,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/index-fundsetfs.html,Not Ranked,12.059999999999999,-17.31,-0.5099999999999998,21.81,4.200000000000001,60.91,28.22,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,20.24,-8.12,10.64,32.83,12.38,71.71,63.74,291.37,"2,626.26",SBI - ETF Nifty Bank,Moderately High,http://www.moneycontrol.com/mutual-funds/nav/sbi-etf-nifty-bank/MSB1111
6.5,8.18,9.19,11.15,11.02,8.18,10.8,35.52,Index Funds/ETFs,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/index-fundsetfs.html,Not Ranked,1.0700000000000003,-2.709999999999999,0.7300000000000004,-2.969999999999999,-5.25,50.379999999999995,-5.220000000000002,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,9.25,6.48,11.88,8.05,2.93,61.18,30.3,308.93,429.80,SBI - ETF Nifty Next 50,Moderately High,http://www.moneycontrol.com/mutual-funds/nav/sbi-etf-nifty-next-50/MSB1113
9.1,8.18,9.19,11.15,11.02,8.18,10.8,35.52,Index Funds/ETFs,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/index-fundsetfs.html,Rank 1,0.20000000000000107,-0.07000000000000028,15.270000000000001,3.99,27.770000000000003,69.09,8.0,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,8.38,9.12,26.42,15.01,35.95,79.89,43.52,470.52,"22,941.47",SBI - ETF Sensex,Moderately High,http://www.moneycontrol.com/mutual-funds/nav/sbi-etf-sensex/MSB583
5.5,8.18,9.19,11.15,11.02,0.0,0.0,35.52,Index Funds/ETFs,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/index-fundsetfs.html,Not Ranked,2.530000000000001,-3.6799999999999997,-5.95,-2.33,0.0,0.0,-0.720000000000006,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,10.71,5.51,5.2,8.69,0.0,0.0,34.8,337.43,3.12,SBI - ETF SENSEX NEXT 50,Moderately High,http://www.moneycontrol.com/mutual-funds/nav/sbi-etf-sensex-next-50/MSB1421
4.0,0.3,4.41,5.41,0.93,5.83,6.28,1.56,Arbitrage Fund,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/arbitrage-fund.html,Rank 4,0.020000000000000018,-0.39000000000000057,5.5600000000000005,-0.040000000000000036,13.020000000000001,28.11,-0.29000000000000004,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.32,4.02,10.97,0.89,18.85,34.39,1.27,26.94,"2,447.39",SBI Arbitrage Opportunities Fund,Moderately Low,http://www.moneycontrol.com/mutual-funds/nav/sbi-arbitrage-opportunities-fund-direct-plan/MSB534
3.6,0.25,3.78,4.8,0.77,5.22,5.68,1.24,Arbitrage Fund,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/arbitrage-fund.html,Rank 3,0.030000000000000027,-0.22999999999999998,5.1499999999999995,0.010000000000000009,11.77,25.25,-0.19999999999999996,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.28,3.55,9.95,0.78,16.99,30.93,1.04,25.92,"2,381.76",SBI Arbitrage Opportunities Fund,Moderately Low,http://www.moneycontrol.com/mutual-funds/nav/sbi-arbitrage-opportunities-fund/MSB081
1.8,8.94,11.94,9.6,10.08,4.62,9.31,36.43,Sectoral/Thematic,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/sectoralthematic.html,Not Ranked,8.040000000000001,-10.1,19.189999999999998,17.189999999999998,31.099999999999998,117.39999999999999,20.79,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,16.98,1.84,28.79,27.27,35.72,126.71,57.22,20.95,387.53,SBI Banking & Financial Services Fund,High,http://www.moneycontrol.com/mutual-funds/nav/sbi-banking-financial-services-fund-direct-plan/MSB1101
